provincia,carretera,pk_inicio,pk_fin,imd_total,imd_pesado,porcentaje_pesados,tramo
Alicante/Alacant,AP-7,621.1,637.8,27876.0,2770.0,9.94,AP-7 (PK 621.1 a 637.8)
Alicante/Alacant,AP-7,608.0,621.1,31171.0,2693.0,8.64,AP-7 (PK 608.0 a 621.1)
Castellón,AP-7,406.4,425.5,36027.0,11062.0,30.7,AP-7 (PK 406.4 a 425.5)
Castellón,AP-7,391.4,406.4,34464.0,10964.0,31.81,AP-7 (PK 391.4 a 406.4)
Castellón,AP-7,365.6,391.4,34592.0,12024.0,34.76,AP-7 (PK 365.6 a 391.4)
Castellón,AP-7,346.2,365.6,28573.0,10661.0,37.31,AP-7 (PK 346.2 a 365.6)
Castellón,AP-7,344.98,346.2,30283.0,10288.0,33.97,AP-7 (PK 344.98 a 346.2)
Tarragona,AP-7,321.6,344.98,30283.0,10288.0,33.97,AP-7 (PK 321.6 a 344.98)
Tarragona,AP-7,318.8,321.6,32209.0,10653.0,33.07,AP-7 (PK 318.8 a 321.6)
Tarragona,AP-7,308.4,318.8,38359.0,11139.0,29.04,AP-7 (PK 308.4 a 318.8)
Tarragona,AP-7,297.1,308.4,38987.0,11194.0,28.71,AP-7 (PK 297.1 a 308.4)
Tarragona,AP-7,280.6,297.1,38918.0,11117.0,28.57,AP-7 (PK 280.6 a 297.1)
Tarragona,AP-7,264.7,280.6,33607.0,9703.0,28.87,AP-7 (PK 264.7 a 280.6)
Huesca,AP-2,113.9,120.5,22672.0,9037.0,39.86,AP-2 (PK 113.9 a 120.5)
Lleida,AP-2,120.5,126.9,22672.0,9037.0,39.86,AP-2 (PK 120.5 a 126.9)
Lleida,AP-2,160.4,172.4,21836.0,6892.0,31.56,AP-2 (PK 160.4 a 172.4)
Lleida,AP-2,126.9,140.0,20276.0,7375.0,36.37,AP-2 (PK 126.9 a 140.0)
Lleida,AP-2,140.0,160.4,20322.0,6711.0,33.02,AP-2 (PK 140.0 a 160.4)
Tarragona,AP-7,256.6,264.7,36428.0,9988.0,27.42,AP-7 (PK 256.6 a 264.7)
Tarragona,AP-7,251.4,256.6,46657.0,11037.0,23.66,AP-7 (PK 251.4 a 256.6)
Tarragona,AP-7,246.7,251.4,57599.0,12570.0,21.82,AP-7 (PK 246.7 a 251.4)
Tarragona,AP-2,181.1,192.7,21517.0,6880.0,31.97,AP-2 (PK 181.1 a 192.7)
Lleida,AP-2,172.4,181.1,21517.0,6880.0,31.97,AP-2 (PK 172.4 a 181.1)
Tarragona,AP-2,192.7,206.2,15722.0,4973.0,31.63,AP-2 (PK 192.7 a 206.2)
Tarragona,AP-7,231.7,246.7,66489.0,14042.0,21.12,AP-7 (PK 231.7 a 246.7)
Tarragona,AP-2,214.8,228.5,20118.0,6137.0,30.51,AP-2 (PK 214.8 a 228.5)
Tarragona,AP-7,219.4,231.7,72146.0,14816.0,20.54,AP-7 (PK 219.4 a 231.7)
Tarragona,AP-2,228.5,234.06,23666.0,6592.0,27.85,AP-2 (PK 228.5 a 234.06)
Tarragona,AP-7,212.2,219.4,61727.0,12940.0,20.96,AP-7 (PK 212.2 a 219.4)
Tarragona,AP-7,207.27,212.2,75880.0,18419.0,24.27,AP-7 (PK 207.27 a 212.2)
Tarragona,AP-2,206.2,214.8,16207.0,5098.0,31.46,AP-2 (PK 206.2 a 214.8)
Barcelona,AP-7,199.0,207.27,71503.0,17866.0,24.99,AP-7 (PK 199.0 a 207.27)
Barcelona,AP-7,195.0,199.0,68637.0,18326.0,26.7,AP-7 (PK 195.0 a 199.0)
Barcelona,AP-7,193.1,194118,82684.0,17909.0,21.66,AP-7 (PK 193.1 a 194.118)
Barcelona,AP-7,194118,195.0,68637.0,18326.0,26.7,AP-7 (PK 194.118 a 195.0)
Barcelona,AP-7,183.3,193.1,96944.0,20263.0,20.9,AP-7 (PK 183.3 a 193.1)
Barcelona,AP-7,176.1,183.3,102140.0,20985.0,20.55,AP-7 (PK 176.1 a 183.3)
Barcelona,AP-7,170.8,176.1,107732.0,21506.0,19.96,AP-7 (PK 170.8 a 176.1)
Barcelona,AP-7,161.6,170.8,104918.0,20087.0,19.15,AP-7 (PK 161.6 a 170.8)
Barcelona,AP-7,158.4,161.6,160656.0,29854.0,18.58,AP-7 (PK 158.4 a 161.6)
Barcelona,AP-7,154.1,158.4,100778.0,24849.0,24.66,AP-7 (PK 154.1 a 158.4)
Barcelona,AP-7,149.7,154.1,118423.0,26454.0,22.34,AP-7 (PK 149.7 a 154.1)
Barcelona,AP-7,147.4,149.7,92492.0,24248.0,26.22,AP-7 (PK 147.4 a 149.7)
Barcelona,AP-7,146.0,147.4,154194.0,28691.0,18.61,AP-7 (PK 146.0 a 147.4)
Barcelona,AP-7,143.4,146.0,152643.0,28572.0,18.72,AP-7 (PK 143.4 a 146.0)
Barcelona,AP-7,141.1,143.4,146844.0,28209.0,19.21,AP-7 (PK 141.1 a 143.4)
Barcelona,AP-7,138.5,139.3,132777.0,24343.0,18.33,AP-7 (PK 138.5 a 139.3)
Barcelona,AP-7,139.3,141.1,134468.0,25200.0,18.74,AP-7 (PK 139.3 a 141.1)
Barcelona,AP-7,136.2,138.5,96684.0,20592.0,21.3,AP-7 (PK 136.2 a 138.5)
Barcelona,AP-7,135.9,136.2,96684.0,20592.0,21.3,AP-7 (PK 135.9 a 136.2)
Barcelona,AP-7,126.0,132.6,111470.0,20373.0,18.28,AP-7 (PK 126.0 a 132.6)
Barcelona,AP-7,132.6,135.9,126006.0,20632.0,16.37,AP-7 (PK 132.6 a 135.9)
Barcelona,AP-7,124.4,126.0,104787.0,18124.0,17.3,AP-7 (PK 124.4 a 126.0)
Barcelona,AP-7,111.3,124.4,84702.0,16635.0,19.64,AP-7 (PK 111.3 a 124.4)
Barcelona,AP-7,95.1,111.3,71330.0,16630.0,23.31,AP-7 (PK 95.1 a 111.3)
Barcelona,AP-7,92.6,95.1,69790.0,15843.0,22.7,AP-7 (PK 92.6 a 95.1)
Girona,AP-7,84.4,92.6,69790.0,15843.0,22.7,AP-7 (PK 84.4 a 92.6)
Girona,AP-7,71.2,84.4,49864.0,13585.0,27.24,AP-7 (PK 71.2 a 84.4)
Girona,AP-7,66.5,71.2,51819.0,13631.0,26.31,AP-7 (PK 66.5 a 71.2)
Girona,AP-7,64.1,66.5,82047.0,17843.0,21.75,AP-7 (PK 64.1 a 66.5)
Girona,AP-7,59.3,64.1,90098.0,17823.0,19.78,AP-7 (PK 59.3 a 64.1)
Girona,AP-7,54.4,59.3,80519.0,17372.0,21.58,AP-7 (PK 54.4 a 59.3)
Girona,AP-7,40.2,48.0,51682.0,14706.0,28.45,AP-7 (PK 40.2 a 48.0)
Girona,AP-7,48.0,54.4,55635.0,15449.0,27.77,AP-7 (PK 48.0 a 54.4)
Girona,AP-7,28.5,40.2,47646.0,14924.0,31.32,AP-7 (PK 28.5 a 40.2)
Girona,AP-7,20.2,28.5,34238.0,13123.0,38.33,AP-7 (PK 20.2 a 28.5)
Girona,AP-7,6.5,20.2,41123.0,13180.0,32.05,AP-7 (PK 6.5 a 20.2)
Girona,AP-7,0.0,3.3,43240.0,13019.0,30.11,AP-7 (PK 0.0 a 3.3)
Girona,AP-7,3.3,6.5,36550.0,11928.0,32.63,AP-7 (PK 3.3 a 6.5)
Palencia,A-62,48.08,48.5,16567.0,5604.0,33.83,A-62 (PK 48.08 a 48.5)
Huesca,N-260,432.3,432.6,1882.0,92.0,4.89,N-260 (PK 432.3 a 432.6)
Córdoba,N-432,297.8,306.5,4703.0,313.0,6.66,N-432 (PK 297.8 a 306.5)
Pontevedra,N-554,2.3,2.4,8886.0,439.0,4.94,N-554 (PK 2.3 a 2.4)
Segovia,N-601,135.4,135.61,2715.0,1090.0,40.15,N-601 (PK 135.4 a 135.61)
Palencia,N-622,73.7,73.84,411.0,76.0,18.49,N-622 (PK 73.7 a 73.84)
Toledo,A-4,52.0,52.2,44839.0,10329.0,23.04,A-4 (PK 52.0 a 52.2)
León,A-6,276.4,277.0,7908.0,1796.0,22.71,A-6 (PK 276.4 a 277.0)
Zaragoza,N-122,63.0,63.1,6692.0,1513.0,22.61,N-122 (PK 63.0 a 63.1)
Albacete,N-301,303117,303.3,4097.0,203.0,4.95,N-301 (PK 303.117 a 303.3)
Valencia,N-322,425.6,425.7,1134.0,191.0,16.84,N-322 (PK 425.6 a 425.7)
Toledo,N-401A,49997,50296,2724.0,306.0,11.23,N-401A (PK 49.997 a 50.296)
Cuenca,N-420,346.5,346.6,776.0,87.0,11.21,N-420 (PK 346.5 a 346.6)
Jaén,N-432A,358.8,359.0,1612.0,52.0,3.23,N-432A (PK 358.8 a 359.0)
Cáceres,N-521,77.1,80.7,1587.0,194.0,12.22,N-521 (PK 77.1 a 80.7)
Pontevedra,N-525,275.9,276.0,2046.0,162.0,7.92,N-525 (PK 275.9 a 276.0)
León,N-536,15.0,15.1,1500.0,52.0,3.47,N-536 (PK 15.0 a 15.1)
Pontevedra,N-541,54.7,54.8,2008.0,206.0,10.26,N-541 (PK 54.7 a 54.8)
A Coruña,N-550,68.62,69.0,22103.0,746.0,3.38,N-550 (PK 68.62 a 69.0)
León,N-6,335.7,336.6,390.0,33.0,8.46,N-6 (PK 335.7 a 336.6)
Lugo,N-6,516.3,516.5,2514.0,332.0,13.21,N-6 (PK 516.3 a 516.5)
Palencia,N-611,59.7,59.9,705.0,137.0,19.43,N-611 (PK 59.7 a 59.9)
León,N-621,8.76,9.0,1524.0,52.0,3.41,N-621 (PK 8.76 a 9.0)
Salamanca,N-630,423.49,423.6,461.0,47.0,10.2,N-630 (PK 423.49 a 423.6)
Asturias,N-634,373.2,373.3,7699.0,377.0,4.9,N-634 (PK 373.2 a 373.3)
Pontevedra,N-640,186.8,187.0,4133.0,252.0,6.1,N-640 (PK 186.8 a 187.0)
Ávila,A-6,123.6,124.24,18350.0,2872.0,15.65,A-6 (PK 123.6 a 124.24)
Lleida,LL-12,0.0,0.2,17198.0,3564.0,20.72,LL-12 (PK 0.0 a 0.2)
Ávila,N-110,346.4,347.0,2316.0,176.0,7.6,N-110 (PK 346.4 a 347.0)
Teruel,N-211,178.1,178.3,1943.0,205.0,10.55,N-211 (PK 178.1 a 178.3)
La Rioja,N-232,384.0,384.1,5708.0,617.0,10.81,N-232 (PK 384.0 a 384.1)
Soria,N-234,320.6,321.4,1500.0,340.0,22.67,N-234 (PK 320.6 a 321.4)
Burgos,N-234,443.1,443.2,3810.0,545.0,14.3,N-234 (PK 443.1 a 443.2)
Jaén,N-323,37.98,38.0,10377.0,188.0,1.81,N-323 (PK 37.98 a 38.0)
Córdoba,N-432,346.0,346.2,4263.0,788.0,18.48,N-432 (PK 346.0 a 346.2)
Badajoz,N-432A,21.7,21.9,1710.0,178.0,10.41,N-432A (PK 21.7 a 21.9)
Zamora,N-525,76.4,76.7,1322.0,129.0,9.76,N-525 (PK 76.4 a 76.7)
Pontevedra,N-525,271.69,272.1,2046.0,162.0,7.92,N-525 (PK 271.69 a 272.1)
Lugo,N-540,13.2,13.4,4795.0,622.0,12.97,N-540 (PK 13.2 a 13.4)
Pontevedra,N-640,148.6,148.8,4115.0,578.0,14.05,N-640 (PK 148.6 a 148.8)
